Child Object,Lookup Field API Name,Lookup Field Label,Parent Object (Inferred),Is Custom Field,Is Required,Is Nillable,Migration Priority,Notes
BAN_Contact__c,BAN__c,BAN,BAN__c,Yes,Yes,No,CRITICAL,MUST have value on initial load
Account,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Account,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Account,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Account,Billing_Location__c,Billing Location,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Account,Campaign__c,Campaign,Campaign,Yes,No,Yes,MEDIUM,Can be populated later
Account,Location__c,Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Account,proposalmanager__Billing_Contact__c,Billing Contact,Contact,Yes,No,Yes,MEDIUM,Can be populated later
Account,MasterRecordId,Master Record ID,Unknown,No,No,Yes,LOW,Can be populated later
Account,OperatingHoursId,Operating Hour ID,Unknown,No,No,Yes,LOW,Can be populated later
Account,ParentId,Parent Account ID,Unknown,No,No,Yes,LOW,Can be populated later
Account,RecordTypeId,Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
BAN__c,Account__c,Account,Account,Yes,Yes,No,CRITICAL,MUST have value on initial load
BAN__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN__c,BAN_Team_Leader__c,BAN Team Director/VP,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Manager__c,BAN Team Manager,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_1__c,BAN Team Person 1,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_2__c,BAN Team Person 2,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_3__c,BAN Team Person 3,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_4__c,BAN Team Person 4,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_5__c,BAN Team Person 5,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_6__c,BAN Team Person 6,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_7__c,BAN Team Person 7,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,BAN_Team_Person_8__c,BAN Team Person 8,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN__c,Billing_Location__c,Billing Location,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
BAN_Contact__c,Contact__c,Contact,Contact,Yes,Yes,No,CRITICAL,MUST have value on initial load
BAN_Contact__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN_Contact__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN_Team__c,BAN__c,BAN,BAN__c,Yes,Yes,No,CRITICAL,MUST have value on initial load
BAN_Team__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN_Team__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
BAN_Team__c,User__c,User,User,Yes,No,Yes,MEDIUM,Can be populated later
Charge__c,Service_Order_Line__c,Service Order Line,Service_Order_Line__c,Yes,Yes,No,CRITICAL,MUST have value on initial load
Charge__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Charge__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Charge__c,Off_Net__c,Off-Net,Off_Net__c,Yes,No,Yes,MEDIUM,Can be populated later
Charge__c,Product__c,Charge Type,Product2,Yes,No,Yes,MEDIUM,Can be populated later
Charge__c,RecordTypeId,Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
Contact,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Contact,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Contact,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Contact,rh2__Describe__c,Describe,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Contact,AccountId,Account ID,Account,No,No,Yes,LOW,Can be populated later
Contact,IndividualId,Individual ID,Unknown,No,No,Yes,LOW,Can be populated later
Contact,MasterRecordId,Master Record ID,Unknown,No,No,Yes,LOW,Can be populated later
Contact,ReportsToId,Reports To ID,Unknown,No,No,Yes,LOW,Can be populated later
Lead,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Lead,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Lead,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Lead,Business_Partner__c,Business Partner,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Lead,Master_Agent__c,Master Agent,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Lead,Sub_Agent__c,Sub Agent,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Lead,ConvertedAccountId,Converted Account ID,Unknown,No,No,Yes,LOW,Can be populated later
Lead,ConvertedContactId,Converted Contact ID,Unknown,No,No,Yes,LOW,Can be populated later
Lead,ConvertedOpportunityId,Converted Opportunity ID,Unknown,No,No,Yes,LOW,Can be populated later
Lead,IndividualId,Individual ID,Unknown,No,No,Yes,LOW,Can be populated later
Lead,MasterRecordId,Master Record ID,Unknown,No,No,Yes,LOW,Can be populated later
Location__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Location__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Location__c,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Location__c,Market_Mapping_Name__c,Market Mapping Name,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Location__c,ROE_Contact_Name_Lookup__c,ROE Contact Name,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Location__c,Ring__c,Ring,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Location__c,Wire_Center__c,Wire Center,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
Location__c,RecordTypeId,Record Type ID,RecordType,No,No,Yes,LOW,Can be populated later
Node__c,CreatedById,Created By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Node__c,LastModifiedById,Last Modified By ID,User (System),No,Yes,No,HIGH,MUST have value on initial load
Node__c,OwnerId,Owner ID,User,No,Yes,No,HIGH,MUST have value on initial load
Node__c,Location__c,Location,Location__c,Yes,No,Yes,MEDIUM,Can be populated later
Node__c,VPRN__c,VPRN,Unknown,Yes,No,Yes,MEDIUM,Can be populated later
